,"PMD (LR, Stem, Lamina, CPB and Basement)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material Stores,,,,,,,,,,,,,,,,MSW,,,,,,,,,,,,,,,,,,,,,,,,,,,RDL,
,,,,,,,,,,,,,,,,,,,,,,,,Basement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Floor,,,,,2nd Floor,,,,,,Ground Floor,,,,,Area B,,,,,,Area C,,,,Area A,,,,,,Area D,,,,Over Floor,,,,,MSG,,,
Date,34,35,36,37,39,38,40,42,43,44,45,46,47,41,48,52,54,53,49,56,50,51,55,62,63,64,65,66,67,68,58,59,57,60,3,4,10,11,13,12,16,19,20,21,22,25,26,33,29,30,31,27,23,24,17,18,14,15,8,9,5,6,7,1,2,28,32,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,112,113
2019-02-12,8,0,0,0,20,5,1,3,8,0,0,6,3,2,8,2,17,3,7,9,8,14,8,0,0,0,0,0,0,0,0,3,0,5,3,4,4,0,7,3,8,1,0,1,6,3,2,2,1,0,0,0,0,0,1,2,0,3,4,7,0,2,0,11,6,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-13,2,4,0,2,3,3,2,0,5,0,2,0,1,1,1,0,9,2,6,5,15,6,6,0,0,0,0,0,0,0,0,4,0,13,0,3,0,0,0,5,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,7,1,3,0,3,2,0,0,10,1,6,3,0,1,2,2,3,0,4,3,8,5,3,0,0,0,0,0,0,0,1,2,0,4,1,3,7,0,0,5,1,1,4,1,2,0,3,2,0,1,1,0,0,0,0,4,0,3,2,0,1,2,1,9,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,2,0,0,0,4,0,1,1,2,0,2,2,3,1,0,0,0,0,13,2,3,6,0,0,0,0,0,0,0,0,1,7,1,1,0,1,2,2,4,4,4,0,5,2,1,1,0,3,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,2,1,1,0,0,1,0,2,3,0,0,0,1,2,2,0,0,0,3,3,2,3,2,0,0,0,0,0,0,0,2,2,0,0,2,3,3,0,3,3,1,1,1,1,1,3,0,2,2,1,0,0,2,0,0,1,1,0,4,3,1,3,0,3,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,2,1,1,0,1,2,0,3,3,0,0,0,1,3,3,0,0,1,3,3,2,5,2,0,0,0,0,0,0,0,2,2,0,1,2,3,3,0,3,3,2,1,2,1,1,5,1,2,2,1,0,0,2,0,0,1,1,0,4,3,1,3,0,3,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-18,2,1,1,1,1,2,0,3,4,1,0,0,2,3,3,0,1,1,5,5,2,5,2,0,0,0,0,0,0,0,2,2,1,1,2,4,3,0,3,4,2,1,2,1,2,5,1,3,3,1,0,0,3,1,0,2,2,1,5,3,1,5,0,5,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-02-19,5,0,2,1,1,0,1,1,2,1,3,1,2,2,2,1,1,2,1,3,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,3,1,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-20,5,0,3,2,1,1,2,1,2,1,4,1,2,2,2,2,2,2,2,3,2,2,3,0,0,0,0,0,0,0,0,2,0,1,1,2,2,0,4,1,2,1,1,2,2,2,0,0,1,1,0,1,2,0,0,1,0,0,2,1,1,1,1,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,2,2,2,3,4,2,7,1,2,1,3,5,3,4,4,1,2,3,3,2,4,6,6,0,0,0,0,0,0,0,4,2,19,3,5,9,5,0,12,4,4,1,2,1,9,1,1,3,8,3,0,1,1,1,0,0,7,6,11,8,0,6,0,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-22,4,0,0,1,4,1,0,0,1,0,0,0,1,1,0,1,1,1,4,0,0,21,0,0,0,0,0,0,0,0,1,5,1,1,2,4,4,1,2,6,2,1,1,1,3,0,1,1,2,0,0,0,1,0,0,1,1,1,5,5,1,5,1,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-23,4,1,1,1,4,1,1,1,1,0,1,0,1,2,0,1,1,1,4,1,0,22,0,0,0,0,0,0,0,0,1,5,1,1,2,5,4,1,2,7,2,1,1,1,3,0,2,1,2,0,0,1,1,1,0,1,1,1,5,5,1,5,1,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-24,4,1,1,1,4,2,1,1,1,0,1,0,1,2,0,2,1,2,4,1,0,22,0,0,0,0,0,0,0,0,1,5,2,2,2,5,4,1,2,7,2,2,1,2,3,0,2,1,2,0,0,1,2,1,0,1,1,1,5,5,2,5,1,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-25,4,1,1,2,4,2,1,1,2,1,1,0,1,2,0,2,1,2,4,1,0,24,1,0,1,0,0,0,0,0,2,7,2,2,2,5,4,2,3,7,3,2,2,2,3,0,2,2,3,1,0,1,2,1,1,2,2,1,5,8,2,6,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
